index,seed,family,n,m,delta,Delta,high_degree,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
294,12639,complete,6,15,5,5,True,1,1,True,1.0,1.0,4.0,True,True
295,12640,cocktail_party,8,24,6,6,True,2,2,True,1.0,1.75,4.0,True,True
296,12641,circulant,9,27,6,6,True,2,2,True,1.0,1.5556,4.0,True,True
297,12642,random_regular,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
298,12643,erdos_renyi,12,32,3,8,True,2,2,True,1.0,1.5,4.0,True,True
299,12644,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
300,12645,paley,5,5,2,2,True,2,2,True,1.0,1.2,4.0,True,True
301,12646,complete,16,120,15,15,True,1,1,True,1.0,1.0,4.0,True,True
302,12647,cocktail_party,12,60,10,10,True,2,2,True,1.0,1.8333,4.0,True,True
303,12648,circulant,10,20,4,4,True,2,2,True,1.0,1.0,4.0,True,True
304,12649,random_regular,10,25,5,5,True,2,2,True,1.0,1.2,4.0,True,True
305,12650,erdos_renyi,16,81,7,13,True,2,2,True,1.0,1.75,4.0,True,True
306,12651,hypercube,16,34,4,5,True,4,4,True,1.0,1.5,4.0,True,True
307,12652,paley,13,40,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
308,12653,complete,16,120,15,15,True,1,1,True,1.0,1.0,4.0,True,True
309,12654,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
310,12655,circulant,8,28,7,7,True,1,1,True,1.0,1.0,4.0,True,True
311,12656,random_regular,14,28,4,4,True,3,3,True,1.0,1.0714,4.0,True,True
312,12657,erdos_renyi,11,36,4,9,True,2,2,True,1.0,1.8182,4.0,True,True
313,12658,hypercube,8,15,3,5,True,2,2,True,1.0,1.5,4.0,True,True
314,12659,paley,13,40,6,7,True,3,3,True,1.0,1.8462,4.0,True,True
315,12660,complete,12,66,11,11,True,1,1,True,1.0,1.0,4.0,True,True
316,12661,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
317,12662,circulant,15,90,12,12,True,2,2,True,1.0,1.7333,4.0,True,True
318,12663,random_regular,11,22,4,4,True,3,3,True,1.0,1.3636,4.0,True,True
319,12664,erdos_renyi,13,47,4,10,True,2,2,True,1.0,1.6923,4.0,True,True
320,12665,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
321,12666,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
322,12667,complete,6,15,5,5,True,1,1,True,1.0,1.0,4.0,True,True
323,12668,cocktail_party,14,84,12,12,True,2,2,True,1.0,1.8571,4.0,True,True
324,12669,circulant,8,16,4,4,True,2,2,True,1.0,1.25,4.0,True,True
325,12670,random_regular,8,12,3,3,True,2,2,True,1.0,1.0,4.0,True,True
326,12671,erdos_renyi,10,24,2,8,True,2,2,True,1.0,1.8,4.0,True,True
327,12672,hypercube,8,13,3,4,True,2,2,True,1.0,1.25,4.0,True,True
328,12673,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
329,12674,complete,8,28,7,7,True,1,1,True,1.0,1.0,4.0,True,True
330,12675,cocktail_party,10,40,8,8,True,2,2,True,1.0,1.8,4.0,True,True
331,12676,circulant,13,39,6,6,True,2,2,True,1.0,1.0769,4.0,True,True
332,12677,random_regular,14,49,7,7,True,2,2,True,1.0,1.1429,4.0,True,True
333,12678,erdos_renyi,11,27,3,7,True,2,2,True,1.0,1.4545,4.0,True,True
334,12679,hypercube,16,32,4,4,True,4,4,True,1.0,1.25,4.0,True,True
335,12680,paley,5,6,2,3,True,2,2,True,1.0,1.6,4.0,True,True
