index,seed,family,n,m,delta,Delta,gamma,furones_size,furones_valid,ratio,tau,rho_n,within_rho,optimal
4881,5881,perfect_code_perturbed,9,18,4,4,2,2,True,1.0,1.1111,4.0,True,True
4882,5882,circulant_efficient,12,24,4,4,3,3,True,1.0,1.25,4.0,True,True
4883,5883,cocktail_multipartite,12,60,10,10,2,2,True,1.0,1.8333,4.0,True,True
4884,5884,random_regular,12,18,3,3,3,3,True,1.0,1.0,4.0,True,True
4885,5885,random_dense,12,43,6,10,2,2,True,1.0,1.8333,4.0,True,True
4886,5886,greedy_trap,12,13,1,4,3,3,True,1.0,1.25,4.0,True,True
4887,5887,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
4888,5888,perfect_code_perturbed,8,14,3,5,2,2,True,1.0,1.5,4.0,True,True
4889,5889,circulant_efficient,14,28,4,4,3,3,True,1.0,1.0714,4.0,True,True
4890,5890,cocktail_multipartite,14,84,12,12,2,2,True,1.0,1.8571,4.0,True,True
4891,5891,random_regular,16,64,8,8,2,2,True,1.0,1.125,4.0,True,True
4892,5892,random_dense,10,33,4,9,1,1,True,1.0,1.0,4.0,True,True
4893,5893,greedy_trap,12,13,1,4,3,3,True,1.0,1.25,4.0,True,True
4894,5894,geometric_setcover,15,18,1,5,4,4,True,1.0,1.6,4.0,True,True
4895,5895,perfect_code_perturbed,7,15,4,5,2,2,True,1.0,1.7143,4.0,True,True
4896,5896,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
4897,5897,cocktail_multipartite,11,44,7,9,2,2,True,1.0,1.8182,4.0,True,True
4898,5898,random_regular,8,16,4,4,2,2,True,1.0,1.25,4.0,True,True
4899,5899,random_dense,16,66,5,12,2,2,True,1.0,1.625,4.0,True,True
4900,5900,greedy_trap,11,16,2,4,3,3,True,1.0,1.3636,4.0,True,True
4901,5901,geometric_setcover,13,15,1,4,4,4,True,1.0,1.5385,4.0,True,True
4902,5902,perfect_code_perturbed,8,12,3,3,2,2,True,1.0,1.0,4.0,True,True
4903,5903,circulant_efficient,10,20,4,4,2,2,True,1.0,1.0,4.0,True,True
4904,5904,cocktail_multipartite,8,21,5,6,2,2,True,1.0,1.75,4.0,True,True
4905,5905,random_regular,10,25,5,5,2,2,True,1.0,1.2,4.0,True,True
4906,5906,random_dense,10,24,3,6,2,2,True,1.0,1.4,4.0,True,True
4907,5907,greedy_trap,7,7,1,3,2,2,True,1.0,1.1429,4.0,True,True
4908,5908,geometric_setcover,10,10,1,3,3,3,True,1.0,1.2,4.0,True,True
